City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,port mathurin,-19.6833,63.4167,25.93,80,28,6.37,MU,1682644964
119,talnakh,69.4865,88.3972,-9.4,94,58,1.19,RU,1682644964
120,east london,-33.0153,27.9116,19.58,75,45,2.74,ZA,1682644964
121,keetmanshoop,-26.5833,18.1333,18.03,26,63,0.42,NA,1682644965
122,qaqortoq,60.7167,-46.0333,1.18,82,4,2.14,GL,1682644965
123,polyarnyy,69.1989,33.4478,-4.09,83,18,5.47,RU,1682644965
124,rawson,-43.3002,-65.1023,15.62,41,2,3.99,AR,1682644965
125,iqaluit,63.7506,-68.5145,-1.15,92,75,5.14,CA,1682644966
126,colonia,50.9333,6.95,12.76,63,20,2.57,DE,1682644966
127,kingston,17.997,-76.7936,27.53,81,20,3.09,JM,1682644939
128,carnarvon,-24.8667,113.6333,21.39,45,78,10.71,AU,1682644967
129,ha'il,27.5219,41.6907,17.01,55,40,3.09,SA,1682644967
130,pajara,28.3504,-14.1076,18.73,76,1,2.86,ES,1682644968
131,mpraeso,6.5932,-0.7346,21.05,97,100,1.85,GH,1682644968
132,yellowknife,62.456,-114.3525,7.29,65,75,5.36,CA,1682644822
133,sydney,-33.8679,151.2073,25.34,61,0,4.63,AU,1682644615
134,ancud,-41.8697,-73.8203,12.89,93,100,5.77,CL,1682644969
135,saint-pierre,-21.3393,55.4781,21.82,78,100,4.12,RE,1682644969
136,olonkinbyen,70.9221,-8.7187,-1.93,94,100,11.08,SJ,1682644969
137,yanchep,-31.55,115.6833,15.34,55,0,4.43,AU,1682644970
138,taoudenni,22.6783,-3.9836,30.69,8,0,5.97,ML,1682644970
139,bredasdorp,-34.5322,20.0403,13.17,88,6,2.23,ZA,1682644970
140,pimentel,-6.8367,-79.9342,26.16,73,75,5.14,PE,1682644970
141,gornozavodsk,58.3758,58.3211,5.07,88,100,3.28,RU,1682644971
142,ko samui,9.5357,99.9357,30.95,74,20,0.51,TH,1682644971
143,benghazi,32.1167,20.0667,16.65,60,25,7.06,LY,1682644971
144,lebork,54.5392,17.7501,3.84,92,0,3.3,PL,1682644972
145,la ronge,55.1001,-105.2842,7.14,53,40,2.57,CA,1682644972
146,brisas de zicatela,15.8369,-97.0419,28.29,74,75,3.09,MX,1682644972
147,ayr,55.4627,-4.6339,8.99,81,40,1.54,GB,1682644972
148,arak,34.0917,49.6892,13.07,45,0,0.54,IR,1682644803
149,abu zabad,12.35,29.25,29.22,31,100,2.53,SD,1682644973
150,conduaga,8.862,117.4893,30.52,63,72,0.54,PH,1682644974
